Samples,Accuracy,Recall,Precision,F1,Kappa,MCC,Selection Rate
8,0.875,1.0,0.875,0.9333333333333333,0.0,0.0,1.0
1,1.0,1.0,1.0,1.0,,0.0,1.0
5,0.8,1.0,0.8,0.8888888888888888,0.0,0.0,1.0
8,0.75,1.0,0.7142857142857143,0.8333333333333334,0.3846153846153846,0.4879500364742666,0.875
5,0.6,1.0,0.6,0.75,0.0,0.0,1.0
10,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666663,0.16666666666666666,0.6
3,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.0,0.3333333333333333
6,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4,0.0,0.0,0.0,0.0,0.0,0.0
6,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
8,0.5,0.0,0.0,0.0,0.0,0.0,0.0
5,0.8,0.0,0.0,0.0,0.0,0.0,0.0
6,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
4,1.0,1.0,1.0,1.0,1.0,1.0,0.25
7,1.0,0.0,0.0,0.0,,0.0,0.0
3,0.3333333333333333,0.0,0.0,0.0,-0.5,-0.5,0.3333333333333333
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
3,0.6666666666666666,1.0,0.5,0.6666666666666666,0.3999999999999999,0.5,0.6666666666666666
4,0.25,0.0,0.0,0.0,-0.5,-0.5773502691896258,0.25
3,0.0,0.0,0.0,0.0,-0.8000000000000003,-1.0,0.3333333333333333
2,0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.5
3,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
3,0.3333333333333333,0.0,0.0,0.0,-0.5,-0.5,0.3333333333333333
1,1.0,0.0,0.0,0.0,,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,
1,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,
2,1.0,0.0,0.0,0.0,,0.0,0.0
4,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
4,1.0,0.0,0.0,0.0,,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,
1,1.0,0.0,0.0,0.0,,0.0,0.0
3,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
7,1.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,
3,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
6,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
3,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
4,1.0,0.0,0.0,0.0,,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,
1,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,
2,1.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,
1,1.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,
3,1.0,0.0,0.0,0.0,,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1.0,1.0,1.0,1.0,,0.0,1.0
3,1.0,1.0,1.0,1.0,,0.0,1.0
3,0.3333333333333333,0.5,0.5,0.5,-0.5,-0.5,0.6666666666666666
3,0.6666666666666666,1.0,0.6666666666666666,0.8,0.0,0.0,1.0
5,0.8,1.0,0.75,0.8571428571428571,0.5454545454545454,0.6123724356957946,0.8
1,1.0,1.0,1.0,1.0,,0.0,1.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
5,0.8,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
5,0.6,0.3333333333333333,1.0,0.5,0.2857142857142857,0.4082482904638631,0.2
3,1.0,0.0,0.0,0.0,,0.0,0.0
4,0.75,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
5,0.6,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,
2,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1,1.0,0.0,0.0,0.0,,0.0,0.0
2,0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.5
2,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,1.0,1.0,1.0,,0.0,1.0
,,,,,,,
