Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Gradient Boosting Classifier,0.7205,0.7259,0.3992,0.5935,0.4763,0.2958,0.3071,0.207
Light Gradient Boosting Machine,0.7191,0.7094,0.3944,0.5901,0.472,0.2912,0.3025,2.326
Ada Boost Classifier,0.7158,0.7237,0.3759,0.5853,0.4561,0.2769,0.2898,0.132
Extra Trees Classifier,0.6927,0.6661,0.3266,0.5305,0.4034,0.2124,0.224,0.235
Decision Tree Classifier,0.6921,0.665,0.3266,0.5292,0.403,0.2114,0.2229,0.019
Quadratic Discriminant Analysis,0.688,0.6843,0.1446,0.5555,0.227,0.1086,0.1489,0.018
Ridge Classifier,0.6857,0.6794,0.1614,0.523,0.246,0.1137,0.1449,0.019
Random Forest Classifier,0.6857,0.6708,0.3748,0.5106,0.4316,0.2218,0.2271,0.26
Naive Bayes,0.6849,0.6761,0.1565,0.5208,0.2403,0.1094,0.1409,0.017
Logistic Regression,0.6823,0.6793,0.1906,0.5062,0.2765,0.1239,0.1482,0.02
Linear Discriminant Analysis,0.6821,0.6794,0.1923,0.5061,0.2783,0.1246,0.1487,0.02
K Neighbors Classifier,0.6818,0.6586,0.3797,0.5024,0.4318,0.217,0.2214,0.108
SVM - Linear Kernel,0.6818,0.644,0.013,0.0571,0.0211,0.0106,0.0151,0.025
Dummy Classifier,0.6807,0.5,0.0,0.0,0.0,0.0,0.0,0.017
