Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Gradient Boosting Classifier,0.7259,0.7395,0.4783,0.5874,0.5268,0.3368,0.3406,0.152
Light Gradient Boosting Machine,0.7202,0.7225,0.4545,0.5802,0.5089,0.3174,0.3225,0.102
Ada Boost Classifier,0.7196,0.7231,0.4859,0.5722,0.5252,0.3283,0.3307,0.047
Random Forest Classifier,0.7077,0.7145,0.448,0.5531,0.4945,0.2922,0.2957,0.084
Extra Trees Classifier,0.7072,0.7029,0.4496,0.5512,0.4944,0.2916,0.295,0.06
Extreme Gradient Boosting,0.6944,0.7043,0.4301,0.5258,0.4729,0.2609,0.2636,0.245
Dummy Classifier,0.6807,0.5,0.0,0.0,0.0,0.0,0.0,0.007
Logistic Regression,0.6577,0.7181,0.6792,0.4749,0.5587,0.2933,0.3062,0.22
Ridge Classifier,0.6548,0.7181,0.6782,0.4717,0.5562,0.2883,0.3014,0.01
Linear Discriminant Analysis,0.6544,0.7181,0.6782,0.4714,0.5559,0.2878,0.3009,0.013
SVM - Linear Kernel,0.6389,0.6907,0.6203,0.4532,0.5224,0.2438,0.2527,0.013
K Neighbors Classifier,0.6328,0.6442,0.5341,0.4395,0.4816,0.2019,0.2045,0.239
Decision Tree Classifier,0.6242,0.579,0.454,0.4185,0.4354,0.1545,0.1548,0.014
Naive Bayes,0.6198,0.6608,0.6874,0.4389,0.5355,0.2393,0.2572,0.213
Quadratic Discriminant Analysis,0.5605,0.6858,0.7665,0.4014,0.5267,0.1855,0.2207,0.012
