Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Gradient Boosting Classifier,0.6835,0.7203,0.5921,0.5036,0.5437,0.304,0.3068,0.024
Dummy Classifier,0.6807,0.5,0.0,0.0,0.0,0.0,0.0,0.007
Ada Boost Classifier,0.675,0.72,0.6267,0.4926,0.5514,0.3023,0.308,0.038
K Neighbors Classifier,0.6726,0.6478,0.4187,0.4849,0.4489,0.218,0.2194,0.197
Light Gradient Boosting Machine,0.6572,0.6981,0.6159,0.4719,0.5341,0.2705,0.2767,0.151
Extreme Gradient Boosting,0.6432,0.6757,0.5942,0.4553,0.515,0.2407,0.2466,0.256
Extra Trees Classifier,0.6391,0.6511,0.5563,0.4476,0.4957,0.2199,0.2233,0.039
Decision Tree Classifier,0.638,0.6503,0.5558,0.4464,0.4947,0.2181,0.2215,0.009
Random Forest Classifier,0.628,0.6546,0.585,0.4384,0.5007,0.214,0.22,0.057
Logistic Regression,0.6226,0.6778,0.6955,0.4421,0.5404,0.2463,0.265,0.219
Ridge Classifier,0.6226,0.6778,0.7026,0.4427,0.543,0.2488,0.2684,0.008
Linear Discriminant Analysis,0.6226,0.6778,0.7026,0.4427,0.543,0.2488,0.2684,0.008
Quadratic Discriminant Analysis,0.6143,0.6822,0.7708,0.4405,0.5605,0.2599,0.293,0.009
Naive Bayes,0.6138,0.6748,0.754,0.439,0.5547,0.2536,0.2833,0.218
SVM - Linear Kernel,0.6093,0.6682,0.6885,0.4307,0.5291,0.2249,0.2439,0.01
